name	R1	R2
pneumoniae10	pneumoniae10_1.trimmed.fastq.gz	pneumoniae10_2.trimmed.fastq.gz
pneumoniae11	pneumoniae11_1.trimmed.fastq.gz	pneumoniae11_2.trimmed.fastq.gz
pneumoniae12	pneumoniae12_1.trimmed.fastq.gz	pneumoniae12_2.trimmed.fastq.gz
pneumoniae13	pneumoniae13_1.trimmed.fastq.gz	pneumoniae13_2.trimmed.fastq.gz
pneumoniae14	pneumoniae14_1.trimmed.fastq.gz	pneumoniae14_2.trimmed.fastq.gz
pneumoniae15	pneumoniae15_1.trimmed.fastq.gz	pneumoniae15_2.trimmed.fastq.gz
pneumoniae16	pneumoniae16_1.trimmed.fastq.gz	pneumoniae16_2.trimmed.fastq.gz
pneumoniae17	pneumoniae17_1.trimmed.fastq.gz	pneumoniae17_2.trimmed.fastq.gz
pneumoniae18	pneumoniae18_1.trimmed.fastq.gz	pneumoniae18_2.trimmed.fastq.gz
pneumoniae19	pneumoniae19_1.trimmed.fastq.gz	pneumoniae19_2.trimmed.fastq.gz
pneumoniae1	pneumoniae1_1.trimmed.fastq.gz	pneumoniae1_2.trimmed.fastq.gz
pneumoniae20	pneumoniae20_1.trimmed.fastq.gz	pneumoniae20_2.trimmed.fastq.gz
pneumoniae2	pneumoniae2_1.trimmed.fastq.gz	pneumoniae2_2.trimmed.fastq.gz
pneumoniae3	pneumoniae3_1.trimmed.fastq.gz	pneumoniae3_2.trimmed.fastq.gz
pneumoniae4	pneumoniae4_1.trimmed.fastq.gz	pneumoniae4_2.trimmed.fastq.gz
pneumoniae5	pneumoniae5_1.trimmed.fastq.gz	pneumoniae5_2.trimmed.fastq.gz
pneumoniae6	pneumoniae6_1.trimmed.fastq.gz	pneumoniae6_2.trimmed.fastq.gz
pneumoniae7	pneumoniae7_1.trimmed.fastq.gz	pneumoniae7_2.trimmed.fastq.gz
pneumoniae8	pneumoniae8_1.trimmed.fastq.gz	pneumoniae8_2.trimmed.fastq.gz
pneumoniae9	pneumoniae9_1.trimmed.fastq.gz	pneumoniae9_2.trimmed.fastq.gz
