#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
pneumoniae10_contigs.fasta	NODE_7_length_87894_cov_114.121165	54765	55982	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae10_contigs.fasta	NODE_7_length_87894_cov_114.121165	56102	57565	+	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae10_contigs.fasta	NODE_7_length_87894_cov_114.121165	59291	61210	-	tet(M)_2	1-1920/1920	===============	0/0	100.00	100.00	resfinder	X90939	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae11_contigs.fasta	NODE_8_length_72531_cov_86.779858	25147	26364	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae11_contigs.fasta	NODE_8_length_72531_cov_86.779858	26484	27947	+	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae11_contigs.fasta	NODE_8_length_72531_cov_86.779858	29673	31592	-	tet(M)_12	1-1920/1920	===============	0/0	100.00	99.58	resfinder	FR671418	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae12_contigs.fasta	NODE_12_length_73279_cov_96.493827	18762	19979	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae12_contigs.fasta	NODE_12_length_73279_cov_96.493827	20099	21562	+	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae12_contigs.fasta	NODE_12_length_73279_cov_96.493827	23288	25207	-	tet(M)_2	1-1920/1920	===============	0/0	100.00	99.84	resfinder	X90939	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae12_contigs.fasta	NODE_38_length_6596_cov_110.302400	2115	2765	+	cat(pC194)_1	1-651/651	===============	0/0	100.00	100.00	resfinder	NC_002013	cat(pC194)	Chloramphenicol
pneumoniae13_contigs.fasta	NODE_12_length_73279_cov_96.400702	48073	49992	+	tet(M)_2	1-1920/1920	===============	0/0	100.00	99.84	resfinder	X90939	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae13_contigs.fasta	NODE_12_length_73279_cov_96.400702	51718	53181	-	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae13_contigs.fasta	NODE_12_length_73279_cov_96.400702	53301	54518	-	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae13_contigs.fasta	NODE_37_length_6596_cov_94.991897	2115	2765	+	cat(pC194)_1	1-651/651	===============	0/0	100.00	100.00	resfinder	NC_002013	cat(pC194)	Chloramphenicol
pneumoniae14_contigs.fasta	NODE_1_length_195913_cov_93.033131	75227	76444	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae14_contigs.fasta	NODE_1_length_195913_cov_93.033131	76564	78027	+	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae14_contigs.fasta	NODE_9_length_92807_cov_88.035298	26563	28482	-	tet(M)_12	1-1920/1920	===============	0/0	100.00	99.74	resfinder	FR671418	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae15_contigs.fasta	NODE_2_length_218226_cov_48.170989	126112	127329	+	mef(A)_2	1-1218/1218	===============	0/0	100.00	100.00	resfinder	U83667	mef(A)	Erythromycin;Azithromycin
pneumoniae15_contigs.fasta	NODE_2_length_218226_cov_48.170989	127449	128912	+	msr(D)_2	1-1464/1464	===============	0/0	100.00	100.00	resfinder	AF274302	msr(D)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae15_contigs.fasta	NODE_2_length_218226_cov_48.170989	130638	132557	-	tet(M)_2	1-1920/1920	===============	0/0	100.00	99.27	resfinder	X90939	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae15_contigs.fasta	NODE_2_length_218226_cov_48.170989	182481	183131	+	cat(pC194)_1	1-651/651	===============	0/0	100.00	100.00	resfinder	NC_002013	cat(pC194)	Chloramphenicol
pneumoniae16_contigs.fasta	NODE_7_length_82067_cov_55.426894	8446	10365	-	tet(M)_8	1-1920/1920	===============	0/0	100.00	99.79	resfinder	X04388	tet(M)	Doxycycline;Tetracycline;Minocycline
pneumoniae16_contigs.fasta	NODE_7_length_82067_cov_55.426894	20131	20893	-	erm(B)_18	1-762/762	========/======	1/1	100.00	98.95	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
pneumoniae16_contigs.fasta	NODE_7_length_82067_cov_55.426894	22541	23335	-	aph(3')-III_1	1-795/795	===============	0/0	100.00	100.00	resfinder	M26832	aph(3')-III	Amikacin
pneumoniae17_contigs.fasta	NODE_1_length_254172_cov_66.598020	71042	71692	-	cat(pC194)_1	1-651/651	===============	0/0	100.00	100.00	resfinder	NC_002013	cat(pC194)	Chloramphenicol
pneumoniae17_contigs.fasta	NODE_1_length_254172_cov_66.598020	121616	123535	+	tet(M)_2	1-1920/1920	===============	0/0	100.00	99.27	resfinder	X90939	tet(M)	Doxycycline;Tetracycline;Minocycline
